Symbol,PERIOD_M1,PERIOD_M5,PERIOD_M15,PERIOD_M30,PERIOD_H1,PERIOD_H4,PERIOD_D1,PERIOD_W1,PERIOD_MN1,
AUDUSD.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2289,-0.8712,0.4376,-0.6738,
EURUSD.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9818,-0.9916,-0.8991,-0.8048,
GBPUSD.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.8142,-0.9485,-0.7506,-0.6599,
USDJPY.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.9236,0.6134,0.7089,0.1283,
XAUUSD.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.2068,0.6304,-0.7793,-0.7879,
XAGUSD.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0619,-0.5788,0.6573,-0.7393,
SpotCrude.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5102,0.7788,-0.7132,-0.6616,
NatGas.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.4741,-0.3879,-0.4291,-0.5054,
US30.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4930,-0.7766,0.5049,-0.2315,
US500.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4854,-0.7410,0.3561,-0.4364,
NAS100.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2656,-0.6622,0.4262,-0.5278,
HK50.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.8015,0.7975,-0.3977,
GER40.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9271,0.8194,0.1132,
CN50.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5912,-0.8475,0.2366,0.4309,
CHINAH.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.7773,0.7408,-0.2460,
SpotBrent.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5012,0.7900,-0.6902,-0.6487,
AUS200.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2698,-0.5182,0.5706,-0.6917,
EUSTX50.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9338,0.8088,0.4757,
FRA40.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0983,0.6740,0.5364,
JPN225.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5686,-0.6849,0.3885,-0.3803,
UK100.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.7977,-0.0539,-0.7258,
USDCHF.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.5948,0.5640,0.8098,0.7379,
USDCAD.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.8517,0.9199,0.7877,0.8058,
NZDUSD.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3870,-0.8006,0.3067,-0.7659,
AUDNZD.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.2465,-0.0239,0.3420,0.6575,
EURNZD.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3738,0.4697,-0.9189,0.2523,
GBPNZD.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1505,0.6273,-0.8245,0.6268,
NZDJPY.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.4748,-0.5455,0.7603,-0.6337,
NZDCAD.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.3488,-0.7231,0.7295,-0.2753,
NZDCHF.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.3406,-0.6261,0.7953,-0.4064,
AUDCAD.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.5454,-0.8259,0.7858,0.4616,
AUDCHF.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.3579,-0.6685,0.7982,0.1355,
AUDJPY.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.5955,-0.5856,0.7490,-0.4432,
EURAUD.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.6684,0.5780,-0.9209,-0.4097,
EURCHF.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0761,-0.6553,0.0134,-0.3839,
EURGBP.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5342,-0.6574,-0.8568,-0.5781,
GBPAUD.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5784,0.7566,-0.8490,0.1075,
GBPCHF.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.1394,-0.4343,0.6472,0.3294,
CADCHF.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0380,-0.2599,0.6837,-0.3322,
CADJPY.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.2859,-0.0689,0.1191,-0.6620,
CHFJPY.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.3191,0.3734,-0.6589,-0.7185,
EURCAD.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.1114,-0.8227,-0.7974,0.0515,
EURJPY.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.3438,-0.5079,-0.7456,-0.6749,
GBPCAD.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.3548,-0.6279,0.1145,0.7110,
GBPJPY.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.5431,-0.2676,0.2740,-0.4906,
AUDCNH.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0900,-0.8448,0.5591,-0.6100,
CNHJPY.a,0.0000,0.0000,0.0000,0.0000,0.0000,0.8934,0.4539,0.7206,-0.0268,
USDX.a,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
BTCUSD.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4126,-0.5349,0.7118,0.0570,
ETHUSD.a,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5461,-0.6946,0.4362,-0.5154,
